date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng
31.03.2023,Master Diagnóstica,a2r69000007ISmU,AMR Direct Flow Chip,Spain,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://vitro.bio/nac/Microbiology,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+); Bacteria (Gram-),Staphylococcus aureus,Unknown,PCR (conventional); Hybridization,Colorimetric,NA,Qualitative,CPO; ESBL; MRSA; VRE,CTX-M; IMP; KPC; mecA; Other; OXA; SHV; vanA; vanB; VIM,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Blood Culture; Colony/plate; Nasal swab; Nasopharyngeal swab; Rectal swab,NA,180,Sevilla,Yes,Spain,"Sevilla, Spain",37.38264084,-5.99629498
31.03.2023,Curetis GmbH,a2r69000007ISn5,Unyvero Urinary Tract Infection,Germany,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Urinary Tract Infections,Staphylococci (coagulase negative); Staphylococcus saprophyticus; Enterococcus spp; Corynebacterium urealyticum; Klebsiella variicola; Providencia spp; Bacteroides spp; Prevotella spp,https://curetis.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram+); Bacteria (Gram-); Fungi; Other,Acinetobacter baumannii; Candida albicans; Candida auris; Candida glabrata; Candida spp; Citrobacter freundii; Citrobacter koseri; Enterobacterales; Enterobacter cloacae complex; Enterococcus faecalis; Enterococcus faecium; Escherichia coli; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Other; Proteus spp; Pseudomonas aeruginosa; Staphylococcus aureus; Streptococcus agalactiae (Group B),Unknown,qPCR,Fluorescence,NA,Qualitative,Colistin/Polymyxin resistance; CPO; ESBL; Fluoroquinolone resistance; MRSA; VRE,CTX-M; IMP; KPC; mcr-1; mecA; NDM; Other; OXA; vanA; vanB; VIM,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Urine,NA,300,Holzgerlingen,Yes,Germany,"Holzgerlingen, Germany",48.63920593,9.0117321
31.03.2023,Cepheid,a2r69000007ISmx,Xpert CT/NG,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,ID,Sexually Transmitted Infections,NA,https://cepheid.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Endocervical swab; Oropharyngeal swab; Rectal swab; Urine; Vaginal swab,NA,90,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
31.03.2023,Cepheid,a2r69000007ISmK,Xpert MRSA/SA Blood Culture,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Molecular,ID-Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://cepheid.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+),Staphylococcus aureus,Unknown,qPCR,Fluorescence,NA,Qualitative,MRSA,mecA; SCCmec,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Blood Culture,NA,70,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
31.03.2023,Cepheid,a2r69000007ISmw,Xpert TV,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,ID,Sexually Transmitted Infections,NA,https://cepheid.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Parasite,Trichomonas vaginalis,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Endocervical swab; Urine; Vaginal swab,NA,40,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
31.03.2023,ELITechGroup,a2r69000007ISmN,ESBL ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,DNA,Bacteria (Gram-),Not applicable,Unknown,qPCR,Fluorescence,NA,Qualitative,ESBL,CTX-M,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Blood Culture; Rectal swab,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
31.03.2023,Baebies,a2r69000007ISjB,FINDER neonatal sepsis,United States,Region of the Americas,Early Stage Development (partial prototype),None,Growth based,ID-Phenotypic AST,Bloodstream Infections,NA,https://baebies.com,Unspecified Market Entry,Diagnostic/confirmatory test,Presumptive identification,Sepsis,Growth/metabolism,Unspecified,Unknown,Unknown,Other,Unspecified,NA,Unknown,Not applicable,Not applicable,NA,Unknown,NA,Unknown,Unspecified,NA,A proprietary/new instrument is required,Unknown,near Point of Care,Intended for professional use only,Blood Culture,NA,NA,Durham,Yes,United States,"Durham, United States",35.99694824,-78.89902496
31.03.2023,Curetis GmbH,a2r69000007ISmM,Unyvero Blood Culture,Germany,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Bloodstream Infections,Staphylococci (coagulase negative); Streptococcus spp; Enterococcus spp; Cutibacterium acnes (P. acnes),https://curetis.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Sepsis,DNA,Bacteria (Gram+); Bacteria (Gram-); Mycobacteria; Fungi,Acinetobacter baumannii; Candida albicans; Candida glabrata; Candida krusei; Candida parapsilosis; Candida spp; Candida tropicalis; Citrobacter freundii; Citrobacter koseri; Enterobacter cloacae complex; Enterococcus faecalis; Escherichia coli; Haemophilus influenzae; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Listeria monocytogenes; Neisseria meningitidis; Other; Proteus spp; Pseudomonas aeruginosa; Serratia marcescens; Staphylococcus aureus; Stenotrophomonas maltophilia; Streptococcus agalactiae (Group B); Streptococcus pneumoniae; Streptococcus pyogenes (Group A),Unknown,qPCR,Fluorescence,NA,Qualitative,CPO; ESBL; MRSA; VRE,aac; CTX-M; erm; IMP; KPC; mecA; mecC; NDM; Other; OXA; vanA; vanB; VIM,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Blood Culture,NA,300,Holzgerlingen,Yes,Germany,"Holzgerlingen, Germany",48.63920593,9.0117321
31.03.2023,Bruker Corporation,a2r69000007ISjE,MICRONAUT-S Pneumococci & Haemophilus MIC,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Pneumococci; Haemophilus spp,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram+); Bacteria (Gram-),Other; Streptococcus pneumoniae,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,Not applicable,Not applicable,NA,Ampicillin; Ceftriaxone; Ciprofloxacin; Clarithromycin; Clindamycin; Erythromycin; Imipenem; Meropenem; Penicillin; Rifampicin; Other,Amoxicillin-clavulanic acid; Cefuroxime; Doxycycline; Moxifloxacin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,1440,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,"Meridian Bioscience, Inc.",a2r69000007ISmP,Revogene Carba C,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Molecular,Resistance,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,DNA,Bacteria (Gram-),Acinetobacter baumannii; Enterobacterales; Pseudomonas aeruginosa,Unknown,qPCR,Fluorescence,NA,Qualitative,CPO,IMP; KPC; NDM; OXA; VIM,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Colony/plate,NA,70,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
31.03.2023,Scanogen Inc.,a2r69000007ISjD,SMOLT-Sepsis-ID,United States,Region of the Americas,Early Stage Development (partial prototype),None,Molecular,ID,Bloodstream Infections,NA,https://scanogen.com,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Sepsis,RNA,Unspecified,Unknown,Unknown,Hybridization,Turbidity,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Saliva; Sputum; Urine; Venous blood,NA,60,Baltimore,Yes,United States,"Baltimore, United States",39.29044342,-76.61233521
31.03.2023,ELITechGroup,a2r69000007ISmO,CRE ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,Resistance,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,DNA,Bacteria (Gram-),Not applicable,Unknown,qPCR,Fluorescence,NA,Qualitative,CPO,IMP; KPC; NDM; OXA; VIM,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Blood Culture; Rectal swab,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
31.03.2023,Bruker Corporation,a2r69000007ISjG,MICRONAUT-S Carbapenemases Detection,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,NA,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Pseudomonas aeruginosa,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,CPO,Not applicable,NA,Meropenem; Other,Temocillin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,NA,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,Bruker Corporation,a2r69000007ISjF,MICRONAUT-S ß-Lactamases,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,Phenotypic AST,Bloodstream Infections; CNS Infections; Gastro-intestinal Infections; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections,Aeromonadaceae; Pseudomonadaceae,https://bruker.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Sepsis,Growth/metabolism,Bacteria (Gram-),Enterobacterales; Other,Unknown,Broth microdilution,Colorimetric; Turbidity,NA,Unknown,ESBL,Not applicable,NA,Meropenem; Other,Clavulanic acid; Temocillin,Unknown,Other,Culture media plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,NA,Billerica,Yes,United States,"Billerica, United States",42.56367111,-71.27111816
31.03.2023,Savyon Diagnostics,a2r69000007ISjh,QuickStripe Chlamydia Ag,Israel,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,NA,https://savyondx.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Chlamydia trachomatis,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Cervical swab; Urethral swab; Urine,NA,10,Ashdod,Yes,Israel,"Ashdod, Israel",31.7977314,34.65299225
31.03.2023,Savyon Diagnostics,a2r69000007ISjg,SavvyCheck Vaginal Yeast Test (OTC),Israel,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,NA,https://savyondx.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Fungi,Candida spp,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Cervical swab,NA,10,Ashdod,Yes,Israel,"Ashdod, Israel",31.7977314,34.65299225
31.03.2023,"Sekisui Medical Co., ltd.",a2r69000007ISjj,OSOM Trichomonas Test,Japan,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,NA,https://sekisuimedical.jp,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Parasite,Trichomonas vaginalis,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Vaginal swab,NA,10,Tokyo,Yes,Japan,"Tokyo, Japan",35.68955231,139.69181824
31.03.2023,Rheonix,a2r69000007ISji,Rheonix STI Triplex,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,ID,Sexually Transmitted Infections,NA,https://rheonix.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-); Parasite,Chlamydia trachomatis; Neisseria gonorrhoeae; Trichomonas vaginalis,Unknown,PCR (conventional),Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Urine,NA,360,Ithaca,Yes,United States,"Ithaca, United States",42.46876526,-76.48567963
31.03.2023,Biomed Diagnostics,a2r69000007ISjl,InTray GC,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Growth based,ID,Sexually Transmitted Infections,NA,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Growth/metabolism,Bacteria (Gram-),Neisseria gonorrhoeae; Neisseria meningitidis,Unknown,Culture,Turbidity,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Oropharyngeal swab; Rectal swab; Urethral swab,NA,4320,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
31.03.2023,TCS Biosciences Ltd,a2r69000007ISjk,Gonochek-II,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Chemical/Biochemical,ID,Sexually Transmitted Infections,Neisseria lactamica; Moraxella catarrhalis,https://tcsbiosciences.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Growth/metabolism,Bacteria (Gram-),Neisseria gonorrhoeae; Neisseria meningitidis; Other,Unknown,Enzymatic assays,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Unspecified,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Colony/plate,NA,30,Buckingham,Yes,United Kingdom,"Buckingham, United Kingdom",52.00109482,-0.98636359
31.03.2023,QIAGEN GmbH,a2r69000007ISjn,artus CT/NG QS-RGQ Kit,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Molecular,ID,Sexually Transmitted Infections,NA,https://www.qiagen.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Cervical swab; Urethral swab; Urine; Vaginal swab,NA,35,Germantown,Yes,United States,"Germantown, United States",39.17694473,-77.27016449
31.03.2023,Biomed Diagnostics,a2r69000007ISjm,InPouch TV,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Growth based,ID,Sexually Transmitted Infections,NA,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Growth/metabolism,Parasite,Trichomonas vaginalis,Unknown,Culture,Microscopy,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Pouch,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Urethral swab; Urine; Vaginal swab,NA,30,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
31.03.2023,Abbott Laboratories,a2r69000007ISjp,Bioline Chlamydia,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Sexually Transmitted Infections,NA,https://abbott.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Chlamydia trachomatis,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Endocervical swab; Other,Cytology brush specimen,20,Abbott Park,Yes,United States,"Abbott Park, United States",41.71919632,-87.62211609
31.03.2023,Biopanda Reagents ltd.,a2r69000007ISjo,Gonorrhea Rapid Test Cassette,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Sexually Transmitted Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Cervical swab; Urethral swab,NA,10,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
31.03.2023,Cepheid,a2r69000007ISmy,Xpert Xpress MVP,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,ID,Sexually Transmitted Infections,Atopobium spp; Bacterial Vaginosis-Associated Bacterium 2; Megasphaera-1,https://cepheid.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-); Fungi; Parasite,Candida glabrata; Candida krusei; Candida spp; Other; Trichomonas vaginalis,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Vaginal swab,NA,60,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
31.03.2023,ZiP Diagnostics Pty ltd.,a2r69000007ISjq,ZiP-CTNG-H4 Diagnostic,Australia,Western Pacific Region,Early Stage Development (partial prototype),None,Molecular,ID,Sexually Transmitted Infections,NA,https://zipdiag.com,Unspecified Market Entry,Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis; Neisseria gonorrhoeae,Unknown,Isothermal LAMP,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Unknown,near Point of Care,Intended for professional use only,Urine; Other,Genital swab,30,Collingwood,Yes,Australia,"Collingwood, Australia",-37.80187607,144.98814392
31.03.2023,SpeeDx Diagnostics,a2r69000007ISn0,ResistancePlus MG FleXible,Australia,Western Pacific Region,Regulatory Achieved,Australia TGA; CE-IVDD,Molecular,ID-Resistance,Sexually Transmitted Infections,NA,https://plexpcr.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Other,Mycoplasma genitalium,Unknown,qPCR,Fluorescence,NA,Qualitative,Macrolide resistance,Other,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Cervical swab; Rectal swab; Urine; Vaginal swab,NA,120,Eveleigh,Yes,Australia,"Eveleigh, Australia",-33.89519882,151.1914978
31.03.2023,SpeeDx Diagnostics,a2r69000007ISmz,ResistancePlus GC,Australia,Western Pacific Region,Regulatory Achieved,Australia TGA; CE-IVDD,Molecular,ID-Resistance,Sexually Transmitted Infections,NA,https://plexpcr.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,qPCR,Fluorescence,NA,Qualitative,Fluoroquinolone resistance,gyrA,NA,Not applicable,NA,Not applicable,NAT reagent kit (open source),NA,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Cervical swab; Cervical swab; Endocervical swab; Oropharyngeal swab; Rectal swab; Urethral swab; Urine; Vaginal swab; Other,Anal swab; Eye swab,NA,Eveleigh,Yes,Australia,"Eveleigh, Australia",-33.89519882,151.1914978
31.03.2023,ELITechGroup,a2r69000007ISn2,Macrolide-R/MG ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Sexually Transmitted Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Other,Mycoplasma genitalium,Unknown,qPCR,Fluorescence,NA,Qualitative,Macrolide resistance,Other,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Urine,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
31.03.2023,Seegene Inc.,a2r69000007ISn1,Allplex NG & DR,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Sexually Transmitted Infections,NA,https://seegene.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Neisseria gonorrhoeae,Unknown,qPCR,Fluorescence,NA,Semi-quantitative,Fluoroquinolone resistance; Macrolide resistance,gyrA; Other,NA,Not applicable,NA,Not applicable,NAT reagent kit (open source),NA,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Oropharyngeal swab; Rectal swab; Urine; Other,Liquid-based cytology specimen; Genital swab,90,Gaithersburg,Yes,South Korea,"Gaithersburg, Korea, Republic of",36.43822861,127.83287048
31.03.2023,Bacterioscan,a2r69000007ISn4,216Dx Urinary Tract Infection,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Biophysics,ID,Urinary Tract Infections,NA,https://bacterioscan.com,Already on the market (commercialized),Diagnostic/confirmatory test,Detection,Unspecified,Growth/metabolism,Unspecified,Unknown,Unknown,Other,Laser,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Urine,NA,180,St. Louis,Yes,United States,"St. Louis, United States",38.6353569,-90.20098877
31.03.2023,ELITechGroup,a2r69000007ISn3,CHLAMYDIA tr. ELITe MGB Kit,France,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Sexually Transmitted Infections,NA,https://elitechgroup.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Chlamydia trachomatis,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Unknown,Lab-based,Intended for professional use only,Cervical swab; Urine; Vaginal swab,NA,150,Puteaux,Yes,France,"Puteaux, France",48.88328552,2.23760176
20.12.2023,Ustar Biotechnologies (Hangzhou) Ltd.,a2rVj00000016TB,EasyNAT Legionella Pneumophila (LP),China,Western Pacific Region,Early Stage Development (partial prototype),None,Molecular,ID,Lower Respiratory Tract Infections,NA,https://en.bioustar.com,Unspecified Market Entry,NA,NA,Unspecified,DNA,Bacteria (Gram-),Legionella pneumophila,Unknown,Isothermal Other,Unspecified,NA,NA,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NA,NA,NA,NA,near Point of Care,NA,Unknown,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254
26.01.2024,Bosch Healthcare Solutions GmbH,a2rVj00000024U9,Vivalytic Bordetella,Germany,European Region,Research Use Only (RUO),None,Molecular,ID,Lower Respiratory Tract Infections,NA,https://bosch-healthcare.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Parapertussis; Pertussis; Pneumonia,DNA,Bacteria (Gram-),Bordetella parapertussis; Bordetella pertussis; Other,Unknown,qPCR,Chemiluminescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Unknown,near Point of Care,Intended for professional use only,Unknown,NA,NA,Waiblingen,Yes,Germany,"Waiblingen, Germany",48.83195114,9.31404305
13.04.2023,Citest Diagnostics Inc.,a2r69000006YUen,C-reactive Protein (CrP) Rapid Test,Canada,Region of the Americas,Regulatory Achieved,Health Canada,Immunoassay,Host Response,Inflammation,NA,https://citestdiagnostics.com,Already on the market (commercialized),Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,C-reactive protein,Lateral Flow Assay,Colorimetric,NA,Quantitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Plasma; Serum; Whole Blood,NA,NA,Vancouver,Yes,Canada,"Vancouver, Canada",49.26356506,-123.13857269
