Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000A9wK2,Labx Corp  ( Design & Development)/Beijing LEPU Medical TEchnology Co. Ltd.,ARIA integrated SELFTEST KIT(iSTK),Philippines,CE-IVD; Germany BfArM,95.90%,90.80%,98.20%,100.00%,96.30%,100.00%,Antigen,Other,Intended for self-testing (version available),Mid-turbinate swab,15,a266900000A9wK2
a266900000A9w97,Laipac Technology Inc.,LooK SPOT 2,Canada,CE-IVD,97.37%,86.10%,99.93%,98.25%,90.61%,99.96%,Antigen,N-protein,Intended for professional use only,Nasal swab,1,a266900000A9w97
a266900000A9w7x,Laipac Technology Inc.,LooK SPOT,Canada,CE-IVD; Other,97.37%,86.10%,99.93%,98.25%,90.61%,99.96%,Antigen,N-protein,Intended for professional use only,Nasal swab,8,a266900000A9w7x
a266900000A9w8t,"Lansion Biotechnology Co., Ltd.",COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay),China,CE-IVD,100.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w8t
a266900000B3llS,"Lansion Biotechnology Co., Ltd.",COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay) (self-testing),China,CE-IVD,100.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B3llS
a266900000A9wE7,"Leadgene Biomedical, Inc.",Leadgene SARS/SARS-CoV-2 Antigen Rapid Test Kit,"Taiwan, Republic of China",-,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Other,15,a266900000A9wE7
a266900000A9wFe,LINKCARE HEALTH SERVICES S.L.,Linkcare Bioscreening SARS-CoV-2 Antigen Rapid Test,Spain,CE-IVD,100.00%,91.78%,100.00%,99.04%,95.00%,99.98%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wFe
a266900000A9wE8,LIONEX Diagnostics & Therapeutics GmbH,COVID-19 Ag Rapid Test,Germany,CE-IVD,94.44%,88.89%,97.74%,98.28%,93.91%,99.79%,Antigen,S-protein S1,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wE8
a266900000AfG9o,Lomina AG,Lomina SARS-CoV-2 Antigen LTX Test,Czech Republic,CE-IVD,94.17%,87.75%,97.83%,100.00%,98.54%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000AfG9o
a266900000A9wEA,Lomina AG,COVID-19 Antigen Rapid Test Device,Switzerland,CE-IVD,90.37%,85.21%,94.10%,97.10%,95.26%,98.37%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab,15,a266900000A9wEA
a2669000009yV2f,Lomina AG,SARS-CoV-2 N-Protein Antigen Rapid Test,Czech Republic,CE-IVD,91.29%,87.73%,94.09%,98.61%,97.99%,99.01%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab,15,a2669000009yV2f
a266900000B2le5,LSI Medience Corporation,PRORAST SARS-CoV-2 Ag,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,15,a266900000B2le5
a266900000AxC4p,"LUCA AICELL, INC.",LUCA NK COVID-19 Ag NP LLB,"Korea, Republic of",CE-IVD,95.00%,86.30%,98.30%,100.00%,96.00%,100.00%,Antigen,N-protein; S-protein RBD,Intended for professional use only,Nasopharyngeal swab,10,a266900000AxC4p
a266900000AxCEV,"LUCA AICELL, INC.",LUCA NK COVID-19 Ag Nasal LLB,"Korea, Republic of",CE-IVD,95.00%,86.30%,98.30%,100.00%,96.00%,100.00%,Antigen,N-protein; S-protein RBD,Intended for professional use only,Nasal swab,10,a266900000AxCEV
a266900000AxBwR,"LUCA AICELL, INC.",LUCA NK COVID-19 Ag LLB,"Korea, Republic of",CE-IVD,95.00%,86.30%,98.30%,100.00%,96.00%,100.00%,Antigen,N-protein; S-protein RBD,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Saliva,10,a266900000AxBwR
a266900000AxCAi,"LUCA AICELL, INC.",LUCA NK COVID-19 Ag Saliva LLB,"Korea, Republic of",CE-IVD,95.00%,86.30%,98.30%,100.00%,96.00%,100.00%,Antigen,N-protein; S-protein RBD,Intended for professional use only,Saliva,10,a266900000AxCAi
a266900000A9wEt,Luminostics,Clip COVID Rapid Antigen Test,United States,US FDA EUA,96.90%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,30,a266900000A9wEt
a266900000A9wDK,LumiQuick Diagnostics Inc.,QuickProfile COVID-19 ANTIGEN Test,United States,Brazil ANVISA; CE-IVD; Philippines FDA,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDK
a266900000A9wDL,LumiraDx,LumiraDx SARS-CoV-2 Ag Test,United Kingdom,US FDA EUA; Japan MHLW; CE-IVD; WHO EUL Under Assessment,97.60%,87.10%,99.60%,96.60%,94.70%,99.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,12,a266900000A9wDL
a266900000A9wGk,Lumos Diagnostics,Covidx SARS-CoV-2 Rapid Antigen Test Kit,United States,Health Canada,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasal swab; Saliva,NA,a266900000A9wGk
a266900000B2cXB,MALCOM COMPANY LIMITED,Standard Q COVID-19 Test,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,20,a266900000B2cXB
a266900000B2leI,"Maxim Biomedical, Inc.",MaximBio ClearDetect COVID-19 Antigen Home Test,United States,US FDA EUA,86.90%,-,-,98.90%,-,-,Antigen,Unknown,Intended for self-testing (version available),Nasal swab,NA,a266900000B2leI
a266900000A9wCG,"Medcaptain Medical Technology CO.,Ltd.",SARS-CoV-2 Antigen (GICA),China,CE-IVD,93.75%,79.85%,98.27%,95.06%,87.98%,98.06%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Mid-turbinate swab,15,a266900000A9wCG
a266900000A9wCI,"Medcaptain Medical Technology CO.,Ltd.",Flu A/Flu B/SARS-CoV-2 Antigen (GICA),China,CE-IVD,96.88%,84.26%,99.45%,98.79%,95.69%,100.00%,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wCI
a266900000A9w9S,Medea Medical,2019-nCoV Antigen Rapid Test Kit (Colloidal Gold Immunochromatography),Netherlands,CE-IVD,92.00%,-,-,99.62%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w9S
a266900000Aw9q5,Medical Diagnostech (Pty) Ltd,MD SARS-nCoV-2 Antigen Device,South Africa,South Africa SAHPRA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,-,NA,a266900000Aw9q5
a266900000A9wCC,MEDICE Medicines Pütter,Medicovid-AG SARS CoV-2 Antigen SELBSTTEST NASE,Germany,CE-IVD; Germany BfArM,96.20%,-,-,99.20%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wCC
a266900000B2ldE,MEDINICS (M) Sdn. Bhd.,BERIGHT COVID-19 Antigen Rapid Test Oral Fluid Home Use,Malaysia,Other,90.10%,-,-,99.30%,-,-,Antigen,N-protein,Intended for self-testing (version available),Saliva,20,a266900000B2ldE
a266900000A9wDM,Medisys International SA,Gmate Covid-19,Switzerland,CE-IVD,93.00%,-,-,97.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab; Sputum,10,a266900000A9wDM
a266900000B2ldW,Medisys International SA,Gmate® COVID-19 Ag Saliva for Home Use,Switzerland,Australia TGA; Other,95.00%,-,-,98.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Saliva,10,a266900000B2ldW
a266900000A9wJD,MED TRUST,Wellion SARS-CoV-2 PLUS ANTIGEN Rapid Test,Austria,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJD
a266900000A9wJ7,Megna Health,Rapid COVID-19 Antigen Test,United States,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJ7
a266900000A9wEs,"Meridian Bioscience, Inc.",GENBODY COVID-19 AG RAPID TEST,United States,Unknown,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wEs
a266900000A9w5k,Meril Diagnostics Pvt Ltd,MERISCREEN COVID-19 ANTIGEN TEST KIT,India,CE-IVD,99.60%,95.00%,100.00%,100.00%,95.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w5k
a266900000B2ldQ,Meril Diagnostics Pvt Ltd,COVIFIND COVID-19 Antigen Self Test,India,CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldQ
a266900000A9w6l,"Merlin Biomedical (Xiamen) Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Cassette,China,CE-IVD,95.05%,88.93%,97.87%,98.99%,94.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w6l
a266900000A9wDN,Mexacare Diagnostics GmbH,Mexacare COVID-19 & Influenza A+B Ag Combo-Schnelltest,Germany,CE-IVD,95.65%,91.90%,99.40%,99.38%,98.50%,99.90%,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDN
a266900000A9wDO,Mexacare Diagnostics GmbH,Mexacare COVID-19 Antigen Schnellltest,Germany,CE-IVD,95.65%,91.90%,99.40%,99.38%,98.50%,99.90%,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDO
a266900000B3Dsc,"MiCo BioMed Co., Ltd.",VERI-Q COVID-19 Ag Rapid Test,"Korea, Dem. People's Rep.",Korea MFDS; CE-IVD,96.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000B3Dsc
a266900000A9wJl,Microgenics Corporation,ASAPath COVID-19 Antigen Rapid Test,United States,CE-IVD,80.60%,63.70%,90.80%,100.00%,95.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,30,a266900000A9wJl
a266900000B2bt3,"Mizuho Medy Co., Ltd.","Quick Chaser SARS-CoV-2/Flu A,B",Japan,Japan MHLW,76.70%,-,-,100.00%,-,-,Antigen,Unknown; Influenza A; Influenza B,Intended for professional use only,Nasopharyngeal swab; Nasal swab,10,a266900000B2bt3
a266900000AvY6v,Mologic Ltd,COVIOS Ag Covid-19 Rapid Antigen Test,United Kingdom,CE-IVD,90.60%,85.60%,94.00%,100.00%,99.20%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,10,a266900000AvY6v
a266900000A9wGr,Mologic Ltd,COVID 19 Rapid Antigen Test,United Kingdom,WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasal swab; Saliva,NA,a266900000A9wGr
a266900000A9w9t,"Monocent, Inc.",Monocent SARS_CoV2 Antigen Rapid Test System,United States,CE-IVD; Other,98.25%,91.23%,99.62%,100.00%,92.82%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w9t
a266900000A9wCO,MP Biomedicals,Rapid SARS-CoV-2 Antigen Test Card,Germany,Australia TGA; Brazil ANVISA; CE-IVD; Other,96.17%,94.04%,98.29%,99.07%,98.26%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9wCO
a266900000B2ldk,MP Biomedicals,Rapid SARS-COV-2 Antigen Test Card Self-test,Singapore,Australia TGA; CE-IVD,99.90%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldk
a266900000A9wCA,Mr. Sanicom,COVID-19 Antigen Rapid Test (Colloidal Gold),Germany,Germany BfArM,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wCA
a266900000A9wFc,Multibrands International Ltd,Panodyne Covid-19 SARS-Cov-2 Antigen Test kit,United Kingdom,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,a266900000A9wFc
a266900000AAH0j,Multi-G b.v.ba,Covid19Chek-GEN,Belgium,CE-IVD; Other,93.18%,88.39%,96.43%,99.32%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000AAH0j
a266900000AAHVe,Multi-G b.v.ba,Covid19Chek-NAS,Belgium,CE-IVD; Other,97.00%,94.10%,98.70%,99.50%,98.83%,99.84%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000AAHVe
a266900000A9w8q,Mylab Discovery Solutions Pvt Ltd,PathoCatch COVID-19 Antigen Lateral Flow Test Device,India,CE-IVD; India CDSCO; WHO EUL Under Assessment,100.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000A9w8q
a266900000B2ldR,Mylab Discovery Solutions Pvt Ltd,CoviSelf COVID-19 Antigen Lateral Flow Test Device OTC Home Test,India,Other,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldR
a266900000B2ldo,Mylab Discovery Solutions Pvt Ltd,SARS-CoV-2 Antigen Rapid Test (Nasal swab) for self testing,India,Other,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldo
a266900000A9wDQ,nal von minden GmbH,"NADAL® COVID-19 Ag",Netherlands,CE-IVD,97.60%,93.10%,99.20%,100.00%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wDQ
a266900000B2ldf,nal von minden GmbH,"NADAL® COVID-19 Ag (Self-Testing)",Netherlands,CE-IVD,99.90%,-,-,97.50%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldf
a266900000B2le3,nal von minden GmbH,"NADAL® COVID-19 Ag plus (Self-Testing)",Netherlands,CE-IVD; Germany BfArM,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2le3
a266900000A9w5F,"Nanjing Liming Bop-Products Co., Ltd",StrongStep SARS-CoV-2 Saliva Antigen Rapid Test,China,CE-IVD,96.23%,90.62%,98.96%,98.86%,95.93%,99.86%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9w5F
a266900000A9w5G,"Nanjing Liming Bop-Products Co., Ltd",StrongStep SARS-CoV-2 Antigen Rapid Test,China,Brazil ANVISA; CE-IVD,96.19%,90.53%,98.95%,99.26%,97.85%,99.85%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab; Nasal swab,15,a266900000A9w5G
a266900000A9w5D,"Nanjing Liming Bop-Products Co., Ltd",StrongStep System Device for SARS-CoV-2 & Influenza A/B Antigen Rapid Test,China,Brazil ANVISA; CE-IVD,96.19%,90.53%,98.95%,99.26%,97.85%,99.85%,Antigen,N-protein,Intended for professional use only,Oropharyngeal swab; Nasal swab,15,a266900000A9w5D
a266900000A9w8C,"Nanjing Vazyme Medical Technology Co., LTD.",Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen Detection,China,CE-IVD; Other,97.57%,94.40%,98.96%,99.29%,98.54%,99.66%,Antigen,N-protein; S-protein (type unknown),Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,10,a266900000A9w8C
a266900000A9wJd,"Nanjing Vazyme Medical Technology Co., LTD.",SARS-CoV-2 Antigen Detection kit,China,CE-IVD; Other,97.57%,94.40%,98.96%,99.29%,98.54%,99.66%,Antigen,N-protein; S-protein (type unknown),Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,10,a266900000A9wJd
a266900000A9wDR,"Nanjing Weiyun Biotechnology Co., Ltd",SARS-CoV-2 (COVID-19) Antigen Rapid Test Kit (Latex Immunochromatography),China,CE-IVD,91.40%,82.50%,96.00%,100.00%,98.20%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,0,a266900000A9wDR
a266900000A9w62,Nano-Ditech Corporation,Nano-Check COVID-19 Antigen Test,United States,US FDA EUA; CE-IVD,94.40%,81.90%,98.50%,100.00%,95.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w62
a266900000A9w63,Nano-Ditech Corporation,Fluoro-CheckTM COVID-19 Antigen Test,United States,CE-IVD,90.00%,76.90%,96.00%,100.00%,92.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w63
a266900000A9w8b,"NanoEntek, Inc.",FREND COVID-19 Ag+FLU A&B,"Korea, Republic of",CE-IVD,95.56%,-,-,99.66%,-,-,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab,4,a266900000A9w8b
a266900000A9w8d,"NanoEntek, Inc.",FREND COVID-19 Ag,"Korea, Republic of",CE-IVD,95.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,4,a266900000A9w8d
a266900000A9wCD,NanoRepro AG,NanoRepro Antigen Rapid Test (Viromed),Germany,CE-IVD; Germany BfArM,97.33%,-,-,99.33%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wCD
a266900000A9wEk,"Nantong Diagnos Biotechnology Co.,Ltd",COVID-19 Antigen Saliva Test Kit (Colloidal Gold) (Cassette),China,CE-IVD; Germany BfArM,98.10%,96.60%,99.80%,99.33%,98.01%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wEk
a266900000A9wCF,"Nantong Diagnos Biotechnology Co.,Ltd",COVID-19 Antigen Test Kit,China,CE-IVD,98.10%,95.00%,100.00%,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wCF
a266900000A9wFT,"Nantong Egens biotechnology co,.ltd",Egens SARS-CoV-2 Antigen Rapid test,China,Brazil ANVISA; CE-IVD,90.32%,74.24%,97.95%,100.00%,88.43%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wFT
a266900000A9wDx,"Nantong Egens Biotechnology Co., Ld.",SARS-CoV-2 Antigen Rapid Test,China,CE-IVD,90.32%,74.24%,97.95%,100.00%,99.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,20,a266900000A9wDx
a266900000A9wHO,"NB POSTECH, Inc.",CHEXEL COVID-19 Ag,"Korea, Republic of",CE-IVD,90.30%,85.60%,95.50%,100.00%,93.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wHO
a266900000A9wK7,NeoMedica d.o.o.,SARS-COV-2 Ag NeoMedica,Serbia,CE-IVD,98.80%,-,-,99.00%,-,-,Antigen,N-protein,Intended for professional use only,Sputum; Saliva,15,a266900000A9wK7
a266900000A9wDS,"New Gene (Hangzhou) Bioengineering Co., Ltd.",Novel Coronavirus Spike Glycoprotein Detection Kit,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,S-protein (type unknown),Intended for professional use only,Sputum; Feces,0,a266900000A9wDS
a266900000B2ldJ,"New Gene (Hangzhou) Bioengineering Co., Ltd.",COVID-19 Antigen Detection Kit - Nasal Swab (for Self-Test use),China,CE-IVD,-,-,-,-,-,-,Antigen,Other,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldJ
a266900000A0ZYB,NG Biotech,Ninonasal Autotest,France,CE-IVD,98.00%,93.00%,100.00%,99.00%,98.00%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A0ZYB
a266900000A9wIk,NG Biotech,NG-Test SARS-CoV-2 Ag,France,CE-IVD,83.00%,74.00%,90.00%,100.00%,96.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wIk
a266900000A9wIl,NG Biotech,Ninonasal,France,CE-IVD,98.00%,93.00%,100.00%,99.00%,98.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wIl
a266900000A9wDT,OPERON,Simple/Stick Ag SARS-CoV-2 (COVID-19),Spain,CE-IVD,95.00%,-,-,100.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Nasal swab,0,a266900000A9wDT
a266900000Auhlo,OraSure Technologies Inc.,InteliSwab COVID-19 Rapid Test Rx,United States,US FDA EUA,84.00%,71.00%,92.00%,98.00%,93.00%,99.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,30,a266900000Auhlo
a266900000Auhlp,OraSure Technologies Inc.,InteliSwab COVID-19 Rapid Test Pro,United States,US FDA EUA; Health Canada,84.00%,71.00%,92.00%,98.00%,93.00%,99.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000Auhlp
a266900000Auhlq,OraSure Technologies Inc.,InteliSwab COVID-19 Rapid Test,United States,US FDA EUA; Health Canada,84.00%,71.00%,92.00%,98.00%,93.00%,99.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhlq
a266900000A9wFP,"OSANG Healthcare Co., Ltd.",GeneFinder COVID-19 Ag Rapid Test,"Korea, Republic of",CE-IVD,96.70%,83.30%,99.40%,99.00%,94.60%,99.80%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wFP
a266900000B2ldV,"OSANG Healthcare Co., Ltd.",GeneFinder COVID-19 Ag Self Test,"Korea, Republic of",CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000B2ldV
a266900000A9wI6,Panion & BF Biotech Inc,Vstrip COVID-19 Antigen Rapid Test,"Taiwan, Republic of China",CE-IVD; Taiwan FDA,93.27%,86.62%,97.25%,99.54%,97.45%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wI6
a266900000AijsB,Pantest SA,Pantest Coronavírus Ag (N) Rapid Test,Portugal,CE-IVD; Germany BfArM,95.70%,90.20%,98.10%,99.10%,96.60%,99.70%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000AijsB
a266900000A9wDU,PCL Inc.,PCL COVID19 Ag Gold,"Korea, Republic of",Korea MFDS; CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Saliva,15,a266900000A9wDU
a266900000B2bdU,Pcl Inc.,PCL Covid-19 Ag Rapid FIA,Australia,Australia TGA; Health Canada; CE-IVD,100.00%,-,-,97.78%,-,-,Antigen,N-protein,Intended for professional use only,Unknown,10,a266900000B2bdU
a266900000A9wBI,PerkinElmer,PerkinElmer® COVID-19 Antigen Test,India,CE-IVD,97.40%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wBI
a266900000B2ldY,"PHASE Scientific International, Ltd.",INDICAID COVID-19 Rapid Antigen Test (Self test),United States,Singapore HSA; CE-IVD,91.00%,93.80%,99.20%,96.00%,92.90%,97.60%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,NA,a266900000B2ldY
a266900000AuhkK,"PHASE Scientific International, Ltd.",INDICAID COVID-19 Rapid Antigen Test,United States,US FDA EUA; Singapore HSA,86.70%,73.80%,93.70%,97.20%,94.30%,98.60%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AuhkK
a266900000A9wE9,Powell Development and Holding Inc,Pinnacle COVID RAD Rapid Antigen test,United States,CE-IVD,84.36%,68.25%,93.14%,100.00%,97.13%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wE9
a266900000B3E7h,Precision Biosensor Inc.,PBCheck COVID-19 Ag,"Korea, Republic of",Korea MFDS,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000B3E7h
a266900000A9wDV,Precision Biosensor Inc.,Exdia COVID-19 Ag,"Korea, Republic of",CE-IVD,93.90%,83.50%,97.90%,98.00%,89.50%,99.60%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,0,a266900000A9wDV
a266900000B3Dr0,Precision Biosensor Inc.,Exdia COVID-19 Ag,"Korea, Republic of",Korea MFDS,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000B3Dr0
a266900000A9wAb,Premier Medical Corporation Private Limited,Sure status COVID-19 antigen Card Test,India,WHO EUL; CE-IVD,94.16%,88.40%,98.50%,100.00%,99.43%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wAb
a266900000A9w9w,Prestige Diagnostics UK Ltd,2019-nCoV Antigen Device (Saliva),United Kingdom,CE-IVD,94.60%,88.50%,98.00%,99.10%,96.80%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9w9w
a266900000A9w9x,Prestige Diagnostics UK Ltd,2019-nCoV Antigen Device (Anterior Nasal Swab),United Kingdom,CE-IVD,96.30%,94.20%,97.10%,99.50%,97.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w9x
a266900000A9w5m,Prestige Diagnostics UK Ltd,2019-nCoV Antigen Device,United Kingdom,CE-IVD,96.40%,-,-,99.20%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w5m
a266900000A9wBG,PRIMA Lab SA,COVID-19 Antigen Rapid Test,Switzerland,CE-IVD,96.40%,89.80%,99.20%,99.20%,95.50%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Nasal swab,15,a266900000A9wBG
a266900000A9wAW,"PRIME4DIA Co., Ltd",P4DETECT COVID-19 Ag,"Korea, Republic of",CE-IVD,96.67%,83.33%,99.41%,100.00%,88.65%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000A9wAW
a266900000A9wAX,"PRIME4DIA Co., Ltd",P4DETECT COVID-19 Ag/Flu,"Korea, Republic of",CE-IVD,96.67%,83.33%,99.41%,100.00%,88.65%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000A9wAX
a266900000B2vPT,Princeton BioMeditech Corp.,Status COVID-19/Flu,United States,Health Canada,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,NA,a266900000B2vPT
a266900000AuhkQ,Princeton BioMeditech Corp.,Status COVID-19/Flu A&B,United States,US FDA EUA,93.80%,83.20%,97.90%,100.00%,97.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,NA,a266900000AuhkQ
a266900000A9w7I,Prognosis Biotech,Rapid Test Ag 2019-nCov,Greece,CE-IVD,98.59%,95.00%,99.83%,99.74%,98.57%,99.99%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w7I
a266900000A9w7X,Prognosis Biotech,Rapid Surface Ag 2019-nCov,Greece,-,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Other,10,a266900000A9w7X
