submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000A9w7p,3B BlackBio Biotech India ltd.,TRUPCR® SARS-CoV-2 RT qPCR KIT Version 2.0 (I),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Saliva,Standard lab instrumentation is required,Manual,Lab-based,87,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,https://www.3bblackbio.com,india(?!.*ocea),India,Asia
a266900000A9w7q,PRIMA Lab SA,PRIMACOVID Covid-19 Neutralizing Ab Rapid Test,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,92.60 %,97.40 %,https://primahometest.com,switz|swiss,Switzerland,Europe
a266900000A9w6m,"Shenzhen Microprofit Biotech Co., ltd.",SARS-CoV-2 Antigen Test (Colloidal Gold Chromatographic Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,92.93 %,100.00 %,https://www.microprofit-bio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w6l,"Merlin Biomedical (Xiamen) Co., ltd.",SARS-CoV-2 Antigen Rapid Test Cassette,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,95.05 %,98.99 %,http://www.merlinbio.com.cn/en/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w6p,"Atlas Link Technology Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Kit,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,97.60 %,99.20 %,http://www.atlas-link.com/english/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w6q,Seasun Biomaterials,U-TOP COVID-19 Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Sputum,Standard lab instrumentation is required,Manual,Lab-based,120,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6r,"Shenzhen Microprofit Biotech Co., ltd.",SARS-CoV-2 Antigen Test Kit (Fluorescence Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,A proprietary/new instrument is required,Manual,near Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,95.65 %,100.00 %,https://www.microprofit-bio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w6s,"Sure Bio-Tech (USA) Co., ltd.",2019-nCoV Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,20,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,93.18 %,99.32 %,https://www.surebiotech.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9w6t,Seasun Biomaterials,AQ-TOP COVID-19 rapid Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Sputum,Standard lab instrumentation is required,Manual,Lab-based,30,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6u,Seasun Biomaterials,AQ-TOP COVID-19 rapid Detection Kit Plus,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage,Standard lab instrumentation is required,Manual,Lab-based,30,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; Korea MFDS; CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6v,Seasun Biomaterials,U-TOP COVID-19 Detection Kit Plus,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene; S gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,120,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6w,Seasun Biomaterials,U-TOP SARS-CoV-2 & Flu A/B,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab; Other,Nasopharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,100,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6x,Seasun Biomaterials,SSu COVID19 Plus,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; S gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,100,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,https://www.seasunbio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w6y,Tulip Diagnostics (P) ltd.,CoviRAT,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,96.30 %,100.00 %,NA,india(?!.*ocea),India,Asia
a266900000A9w6z,Tulip Diagnostics (P) ltd.,"PERKINELMER COVID-19 ANTIGEN TEST (NS, NP)",Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment; Other,96.30 %,100.00 %,https://tulipgroup.com,india(?!.*ocea),India,Asia
a266900000A9w70,"Jiangsu Bioperfectus Technologies Co., ltd.",COVID-19 Coronavirus Real Time PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,72,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; US FDA EUA; China NMPA; Australia TGA; Brazil ANVISA; CE-IVD; Other,100.00 %,99.80 %,https:/bioperfectus.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w71,"Jiangsu Bioperfectus Technologies Co., ltd.",Novel Corona Virus (SARS-CoV-2) Ag Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; Other,97.06 %,99.15 %,https:/bioperfectus.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w72,"Assure Tech. (Hangzhou) Co., ltd.",COVID-19 Antigen Rapid Test Device,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; Health Canada; CE-IVD,97.70 %,99.10 %,http://www.diareagent.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w73,"Shenzhen Microprofit Biotech Co., ltd.",SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein; S-protein S1,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,86.29 %,100.00 %,https://www.microprofit-bio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w74,"Assure Tech. (Hangzhou) Co., ltd.",FLUA-FLUB-RSV-ADV-COVID-19 Combo Test Device,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,97.30 %,100.00 %,http://www.diareagent.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w75,"Shenzhen Microprofit Biotech Co., ltd.",SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein; S-protein S1,Nasopharyngeal swab,A proprietary/new instrument is required,Manual,near Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,87.90 %,100.00 %,https://www.microprofit-bio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w76,"BioNote, Inc.",NowCheck COVID-19 IgM/IgG Test,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,10,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,Brazil ANVISA; CE-IVD; South Africa SAHPRA; Other,96.77 %,98.65 %,http://www.bionote.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000A9w77,Biolidics Limited,2019-nCoV IgG/IgM Antibody Detection Kit,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore HSA; CE-IVD; Philippines FDA; Indonesia MDR; Other,91.54 %,97.02 %,https://www.biolidics.com/,singapore,Singapore,Asia
a266900000A9w78,Biolidics Limited,ClearEpi SARS-CoV-2 Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,98.15 %,98.75 %,https://www.biolidics.com/,singapore,Singapore,Asia
a266900000A9w7B,"InTec Products, Inc.(Xiamen)",InTec Rapid SARS-CoV-2 Antigen Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,93.10 %,100.00 %,https://www.intecasi.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w7C,"Snibe Co., ltd. (Shenzhen New Industries Biomedical Engineering Co., ltd. )",MAGLUMI SARS-CoV-2 Ag (CLIA),Immunoassay,Intended for professional use only,Antigen,Chemiluminescent Immunoassay (CLIA),N-protein,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,25,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD; Ukraine SMDC; Germany BfArM,97.70 %,99.60 %,http://www.snibe.com/zh_en/en_newsView.aspx?id=576,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w7D,"Guangzhou Wondfo Biotech Co., ltd.",Wondfo 2019-nCoV Antigen Test (Lateral Flow Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Australia TGA; CE-IVD; WHO EUL Under Assessment,87.12 %,99.74 %,https://www.wondfo.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w7E,"Sure Bio-Tech (USA) Co., ltd.",SARS-CoV-2 Neutralizing Antibody Rapid Test,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Other,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,98.51 %,99.50 %,https://www.surebiotech.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9w7F,Vela Diagnostics,ViroKey SARS-CoV-2 RT-PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1a,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,75,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA; Australia TGA; Singapore HSA; CE-IVD; Taiwan FDA; Other,97.10 %,100.00 %,http://www.veladx.com/,singapore,Singapore,Asia
a266900000A9w7G,AAZ-LMB,COVID-VIRO,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,96.60 %,100.00 %,https://www.covid19aaz.com/en/rapide-antigenic-test/,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a266900000A9w7H,Instituto de Medicina Genómica,Imegen SARS-CoV-2 Plus RNAseP,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; S gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,80,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,https://www.imegen.es,spain,Spain,Europe
a266900000A9w7I,Prognosis Biotech,Rapid Test Ag 2019-nCov,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,98.59 %,99.74 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7J,Prognosis Biotech,Rapid test 2019-nCoV Total Ig,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Total Antibody,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,10,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,No impact (analytical/clinical studies conducted),Unknown,CE-IVD,98.75 %,100.00 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7K,Prognosis Biotech,Bio-Shield 2019-nCoV Total,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,Total Antibody,Serum; Plasma,No instrumentation is required,Manual,Lab-based,120,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,98.68 %,99.00 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7L,AAZ-LMB,COV-QUANTO,Immunoassay,Intended for professional use only,Antigen,Reagent Kit,N-protein,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,180,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,93.00 %,98.40 %,https://www.covid19aaz.com/en/rapide-antigenic-test/,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a266900000A9w7M,Prognosis Biotech,Bio-Shield 2019-nCov IgG,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,No instrumentation is required,Manual,Lab-based,90,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,97.43 %,99.85 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7N,Prognosis Biotech,Bio-Shield 2019-nCov IgM,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgM,Serum; Plasma,No instrumentation is required,Manual,Lab-based,90,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,82.66 %,100.00 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7O,Wama Diagnóstica,IMUNO-RÁPIDO COVID-19 IgG/IgM,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),IgG; IgM,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil ANVISA,83.30 %,93.10 %,http://wamadiagnostica.com.br/,brazil,Brazil,South America
a266900000A9w7P,"RPC ""Diagnostic Systems"", ltd.",DS-IA-ANTI-SARS-CoV-2,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,Total Antibody,Serum; Plasma,Standard lab instrumentation is required,Fully automated (including sample preparation),Lab-based,80,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment,100.00 %,99.30 %,https://www.npods.ru,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Russia,Europe
a266900000A9w7Q,Immunostep S.L,Anti-SARS-CoV-2 ELISA IgG,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,100,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,91.00 %,100.00 %,https://sars-cov-2-test.immunostep.com/,spain,Spain,Europe
a266900000A9w7R,"RPC ""Diagnostic Systems"", ltd.",DS-IA-ANTI-SARS-CoV-2-G,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Fully automated (including sample preparation),Lab-based,80,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment,100.00 %,99.20 %,https://www.npods.ru,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Russia,Europe
a266900000A9w7S,Immunostep S.L,Anti-SARS-CoV-2 ELISA IgA,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgA,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,100,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,93.00 %,100.00 %,https://sars-cov-2-test.immunostep.com/,spain,Spain,Europe
a266900000A9w7T,"RPC ""Diagnostic Systems"", ltd.",DS-IA-ANTI-SARS-CoV-2-G (S),Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Fully automated (including sample preparation),Lab-based,80,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,https://www.npods.ru,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Russia,Europe
a266900000A9w7U,"RPC ""Diagnostic Systems"", ltd.",DS-IA-ANTI-SARS-CoV-2-SPECTRUM,Immunoassay,Intended for professional use only,Antibody (serological),Reagent Kit,Total Antibody,Serum; Plasma,Standard lab instrumentation is required,Fully automated (including sample preparation),Lab-based,50,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,99.31 %,https://www.npods.ru,\brussia|soviet.?union|u\.?s\.?s\.?r|socialist.?republics,Russia,Europe
a266900000A9w7V,Medsource Ozone Biomedicals,Sars CoV2 Real Time PCR Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,90,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; India CDSCO; Other,96.00 %,98.80 %,https://www.ozonebio.com,india(?!.*ocea),India,Asia
a266900000A9w7W,QuantuMDx Group Limited,QuantuMDx SARS-CoV-2 RT-PCR Detection Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; S gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Manual,Lab-based,75,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; MHRA UK,98.90 %,99.10 %,http://www.quantumdx.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000A9w7X,Prognosis Biotech,Rapid Surface Ag 2019-nCov,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Other,No instrumentation is required,Manual,True Point of Care,10,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,No impact (analytical/clinical studies conducted),Unknown,NA,0.00 %,0.00 %,https://www.prognosis-biotech.com/,greece|hellenic|hellas,Greece,Europe
a266900000A9w7Y,QuantuMDx Group Limited,Q-POC SARS-CoV-2 Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; S gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,31,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; MHRA UK; Other,0.00 %,0.00 %,http://www.quantumdx.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000A9w7Z,DIA.PRO Diagnostic Bioprobes S.r.l.,COVID-19 RNA Vs 2,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Sputum,Standard lab instrumentation is required,Manual,Lab-based,75,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),CE-IVD,100.00 %,100.00 %,https://www.diapro.it,italy,Italy,Europe
